"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ACUTAAS",40,1132.69,1300,45307.48,52000,6692.52,14.77,-1.28,""
"CSBBANK",233,420.27,376.95,97922.75,87829.35,-10093.4,-10.31,-2.14,""
"ECLERX",21,3323.02,3997.2,69783.5,83941.2,14157.7,20.29,0.2,""
"GOLDBEES",5214,5.75,83.14,393642.53,433491.96,39849.43,10.12,-0.1,""
"HCG",174,556.96,661.1,96910.2,115031.4,18121.2,18.7,-2.97,""
"JUNIORBEES",73,695.24,714.47,50752.54,52156.31,1403.77,2.77,-0.18,""
"KFINTECH",73,1124.7,1128.9,82103.4,82409.7,306.3,0.37,1.29,""
"KSCL",96,1258.85,1104.2,120849.8,106003.2,-14846.6,-12.29,-2.58,""
"LIQUIDCASE",235,107.96,110,25370.6,25850,479.4,1.89,0.06,""
"MUTHOOTFIN",23,2297.91,2757.55,52851.9,63423.65,10571.75,20,9.83,""
"NH",50,1951.38,1818,97568.8,90900,-6668.8,-6.83,-0.86,""
"NIFTYBEES",217,258.32,278.42,56055.87,60417.14,4361.27,7.78,0.15,""
"PARADEEP",469,216.87,200.3,101709.72,93940.7,-7769.02,-7.64,-3.56,""
"PAYTM",96,885.28,1151.3,84986.8,110524.8,25538,30.05,-0.32,""
"PERSISTENT",2,3406.55,5289,6813.1,10578,3764.9,55.26,0.79,""
"SILVERBEES",770,104.46,110.83,80435.9,85339.1,4903.2,6.1,-0.38,""
"SRF",30,3079.68,2838.2,92390.4,85146,-7244.4,-7.84,-0.5,""